No.,Tweet ID
895,[['1390646177855586307']]
896,[['1352096521504886788']]
897,[['1450367308581511173']]
898,[['1350361911452332033']]
899,[['1450905944343425026']]
900,[['1451901622393708552']]
901,[['1390581344053432325']]
902,[['1451881601546215431']]
903,[['1451605521153228801']]
904,[['1352325854227959811']]
905,[['1389507993352425475']]
906,[['1350467136955822080']]
907,[['1391018219167748104']]
908,[['1350315101350473728']]
909,[['1450387438023680000']]
910,[['1352239150150377479']]
911,[['1450515139740975104']]
912,[['1350728639982284802']]
913,[['1352062785501458435']]
914,[['1451857896166367234']]
915,[['1391033938144112641']]
916,[['1389462411271413762']]
917,[['1349943713074733056']]
918,[['1451947524466610182']]
919,[['1351493720483504128']]
920,[['1450971879351652359']]
921,[['1390236745015468032']]
922,[['1452518539525513222']]
923,[['1241996969561726976']]
924,[['1389583295759978498']]
925,[['1390768024962183169']]
926,[['1451252417660604419']]
927,[['1350840871831429120']]
928,[['1240864679280488448']]
929,[['1391632520748441601']]
930,[['1391721698785824774']]
931,[['1350135565728051200']]
932,[['1350732099079307266']]
933,[['1451951328914202629']]
934,[['1452036989319008260']]
935,[['1350651738907422721']]
936,[['1241226229044383744']]
937,[['1451993972503613440']]
938,[['1351475824386568192']]
939,[['1451558683343740938']]
940,[['1351476650190532609']]
941,[['1350530678388043776']]
942,[['1351561190347046913']]
943,[['1390920026274816000']]
944,[['1351233292562026497']]
945,[['1351793867041988609']]
946,[['1351182577881800705']]
947,[['1352289860388855809']]
948,[['1451353352437129216']]
949,[['1351153459236646914']]
950,[['1389487862584946690']]
951,[['1451205162568196107']]
952,[['1451631137550442501']]
953,[['1451975956621631489']]
954,[['1350516568032215041']]
955,[['1350064443787517952']]
956,[['1351571790687055874']]
957,[['1450924944657891329']]
958,[['1450510205595303945']]
959,[['1452637325624754177']]
960,[['1242917742199615488']]
961,[['1390128816811651095']]
962,[['1391065660252381184']]
963,[['1451393669924368386']]
964,[['1351900316132904966']]
965,[['1391820849246842880']]
966,[['1452518084183564296']]
967,[['1452338891923546122']]
968,[['1451279120739016705']]
969,[['1390935459828846593']]
970,[['1451551423615930370']]
971,[['1452233400195108876']]
972,[['1351079925621661697']]
973,[['1351448191279894529']]
974,[['1452679116575158296']]
975,[['1450363633989529600']]
976,[['1391048998203527169']]
977,[['1450458191767220241']]
978,[['1390984832667115521']]
979,[['1451649248794222597']]
980,[['1350408668215472129']]
981,[['1390924111522803714']]
982,[['1450921182614769666']]
983,[['1451927659844362244']]
984,[['1452190268934008837']]
985,[['1349964953474760705']]
986,[['1450692010403319808']]
987,[['1391061842546548737']]
988,[['1389990968275914754']]
989,[['1451646512774238210']]
990,[['1452565928273760258']]
991,[['1451113880143417348']]
992,[['1390923755929710594']]
993,[['1391701836856500224']]
994,[['1451873631613636618']]
